"Wurlitzer 534 Amplifier. Values here were cross checked with the schematic all listed are true values, replacement prat might not be exact. Some capacitors are in the PSU (C-27 & C-26)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Quantity,Value (MFD / uf),Voltage Rating,Type,Item,Image Location,Where,,Link,Ordered?,Replaced?,Notes,,,,
3x,30/20/20/25,500/400/400/50,Can Multi-Electrolytic,"C-25,C-26,C-24","BA,BB, PSUA","2x on Outer Case, 1x on PSU",,Possible direct replacement: ( https://www.tubesandmore.com/products/capacitor-ce-mfg-525v-30202020-f ),,y,Replace with below:,,,,
,30,500,Electrolytic,"C-24A,C-25A,C-26A",^,^,need: 3x,https://www.digikey.com/en/products/detail/chemi-con/EKXJ501ELL330MK45S/7809916,y,y,Semi-circle,,,,
,20,400,Electrolytic,"C-24B,C-25B,C-26B",^,^,need: 3x,https://www.digikey.com/en/products/detail/chemi-con/EKXL421ELL220MJ25S/8544148,y,y,Square,,,,
,20,400,Electrolytic,"C-25C,C-26C",^,^,need: 2x,https://www.digikey.com/en/products/detail/chemi-con/EKXL421ELL220MJ25S/8544148,y,y,Triangle,,,,
,25,50,Electrolytic,"C-24D,C-25D",^,^,need: 2x,https://www.digikey.com/en/products/detail/chemi-con/ELXV101ELL270MJC5S/4001748,y,y,No-shape,,,,
2x ,0.0005,1800,Paper (film),C-23,"BC,BD",V9/V11 pin 9,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/S471K29X7RP6TK5R/2831404,y,y,"link is for smd, wire leads need to be added",,,,
4x,0.39,100,Plastic Film,"C-20,C-21","BE,BF,BG,BH",Around Loudness pot,,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ECW-FD2W394KQ/4271857,y,y,Screwed in between metal plate and case,,,,
2x,270 (MMFD / pf),N/A (100? ),Ceramic,C-22,"BI,BJ",A/B Trebble between 1 & 4,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/S271K43SL0N6TK5R/2832430,y,y,Voltage rating unknown,,,,
1x,0.01,1000,Ceramic,C-16,BK,V7 pin 1&6,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/S103M47Z5UN63J7R/412808,y,y,"Voltage on schematic is 180v, on cap is 1kv",,,,
1x,1,200,Paper (film),C-17,BL,V7 pin 2 (under c-18),,https://www.digikey.com/en/products/detail/nichicon/PHC1254100KG/16654575,y,y,,,,,
1x,2,50,Paper (film),C-18,BM,after 1.5M res after V7 pin 2 ,,https://www.digikey.com/en/products/detail/nichicon/PHC1404200KJ/13662910,y,y,,,,,
2x ,0.0039,200,Paper (film),C-19,"BN,BO",On loudness pot ,,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ECW-HC3F392J/4292055,y,y,"bumblebee capacitor: (Orange, White, Red, White, Yellow)",,,,
1x,0.1,400,Paper (film),C-27,PSUB,In PSU,,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/104MPW400K/5410485,y,y,"The type I pulled was rated for 200v, not 400v",,,,
6x,0.047,400,Paper (film),"C-10,C-11,C-12","A,B,C,D,E,G",,,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/473MPW630K/5412561,y,y,,,,,
6x,25,25,Electrolytic,"C-13,C-2,C-4","F,H,N,O,P,Q",,,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/226BPA050M/5411601,y,y,More exact (expensive) replacement: https://www.digikey.com/en/products/detail/vishay-sprague/TE1207/5612655,,,,
2x,0.01,400,Paper (film),C-8,"I,J",,,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/103MPW630K/5410457,y,y,,,,, 
2x,0.1,200,Paper (film),C-5,"K,L",,,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/104MPW400K/5410485,y,y,,,,,
1x,20,50,Electrolytic,C-14,M,,,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/226BPA050M/5411601,y,y,,,,,
2x,470 (MMFD / pf),,Ceramic,C-9,"R,S",,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/S471K29X7RP6TK5R/2831404,y,y,,,,,
1x,0.001,,Ceramic,C-6,T,,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/S102K33X7RN6UJ5R/2831115,y,y,,,,,
1x,560 (MMFD / pf),,Ceramic,C-7,U,,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/S561K29X5FN63L6R/2356827,y,y,,,,,
3x,0.01,,Ceramic,"C-3,C-15","V,W,X",,,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/S103M47Z5UN63J7R/412808,y,y,,,,,
